"Sample_Number","Tr","Time","X.Pyruvic.acid..1TMS.","X.Lactic.Acid..2TMS.","X.Valine..1TMS.","X.Alanine..2TMS.","X.Leucine..2TMS.","X.Threonine..2TMS.","X.Proline..2TMS.","X.Succinic.acid..2TMS.","X.Glycine..3TMS.","X.Fumaric.acid..2TMS.","X.Serine..3TMS.","X.Methionine..1TMS.","X.Aspartic.acid..2TMS.","X.Glutamine...H2O...2TMS.","X.Malic.acid..3TMS.","X.Glutamic.acid..2TMS.","X.2.Oxoglutaric.acid..1MEOX...2TMS..BP","X.Threonic.acid..4TMS.","X.Phenylalanine..2TMS.","X.Asparagine..3TMS.","X.Putrescine..4TMS.","X.Ornithine..4TMS.","X.Citric.acid..4TMS.","X.Fructose..1MEOX...5TMS..MP","X.Galactose..1MEOX...5TMS..MP","X.Lysine..4TMS.","X.Tyrosine..3TMS.","X.Glucose..1MEOX...5TMS..BP","X.Gluconic.acid..6TMS.","X.myo.Inositol..6TMS.","X.Sucrose..8TMS.","X.Trehalose..8TMS.","X.Maltose..1MEOX...8TMS..MP","X.Melibiose..1MEOX...8TMS..BP","X.Galactinol..9TMS."
"2","C","2",0.139441676569802,0.0844415597446542,0.0764454575620005,0.00159940235843483,0.0319624570244899,0.108523027447221,0.0149176327589057,0.0345784029184744,0.0411975345113638,0.0100498318539316,0.00190676074078555,0.0817484043081689,0.0131744229916855,0.0287475202164591,0.000927301290197242,0.0790316967355951,0.0321426888689734,0.272594399991714,0.12722283837398,0.0823272948690439,0.135813755008215,0.0752175198528652,0.00227099754682233,0.00179965958555923,0.0132837741723915,0.127501449116144,0.0322736478916572,0.0156703172523583,0.00292155909498113,0.151048385322073,0.00122513420396794,0.0300286654815212,0.142878069785536,0.144189439426303,0.0277709013978545
"20","M","2",0.477269160535308,0.263300989480518,0.911174590076619,0.00539784159031605,0.18285009288105,0.405976465918268,0.080388701467315,0.214953416908162,0.475178478191218,0.0709964144824695,0.279120815229652,0.605329548482008,0.0992279907324288,1,0.0132522529666664,0.419822501715436,0.0719898485121404,0.0928194489086761,0.823951679893839,0.337997833470236,0.383446248033682,0.422980889529568,0.0762204013118014,0.0185092827109027,0.0257742290028189,0.773584501593941,0.219101314844175,0.127980790608828,0.00703207140542764,0.09692053237989,0.0072821963714858,0.0714135444159247,0.106516732367222,0.439602563411518,0.0642987037301228
"21","C","4",0.099592178788186,0.191436827818196,0.124753521907808,0.0145415083938011,0.0945461786188612,0.26952785910902,0.0364586680898699,0.055622063668775,0.191364446784617,0.0176432346543491,0.106998315868384,0.221811036616961,0.0487017989315422,0.0459192166457591,0.00307595969440808,0.178040740940165,0.0420454327336731,0.109016773223317,0.257942299594192,0.121150689446912,0.102243793181398,0.192651525744827,0.00502834926925272,0.0072098880641272,0.0283004604206912,0.16971130825788,0.101894859897477,0.150716658291331,0.00155943401797018,0.093248564097559,0.00831144611483029,0.0495217757215221,0.204180098728475,0.262851195966473,0.0308654820941948
"22","C","4",0.147642792556606,0.0444610891265594,0.0827022293900355,0.00154061110024965,0.0313496854256936,0.133056735184817,0.0158630745805486,0.0243204534021381,0.0586190825742521,0.0104843632780756,0.0831246018890386,0.0611410277415985,0.0173403064706081,0.0197375549409174,0.00156832797561624,0.069262489918537,0.0390478034339002,0.0342027270911651,0.175889245821989,0.0511889812845182,0.384754915690175,0.0639975928791754,0.00150968058676523,0.00270146175217015,0.00908430476556128,0.128848110675308,0.0524314779127482,0.0245135923844751,0.000704929017786016,0.00371810988390729,0.00209340314918954,0.0184618912147392,0.0329931176917173,0.0618466176458743,0.00323628825625475
"23","C","4",0.118462753645483,0.171003477412959,0.108563809155461,0.00285856900815673,0.0924423266715958,0.184471302738319,0.0370997297004526,0.0809572322051466,0.136248838688475,0.0208758863402872,0.133293521443879,0.274577946878789,0.0489324903586013,0.0400122610120289,0.00232460350725703,0.243494476367682,0.181694537062393,0.317294903284329,0.217117243669438,0.201040928122783,0.152616531465624,0.224572129630424,0.00550605683205803,0.100214561825112,0.0248976956895422,0.209458081286,0.108929400527497,0.204650768306646,0.00484879214964452,0.162605078715574,0.00291699964880025,0.0611617813957427,0.206272422095138,0.204441751736403,0.0261523141991471
"24","C","4",0.0995961805795624,0.0599009627734758,0.0632642755249147,0.128424307878125,0.16739048207754,0.156243329719363,0.138443538876404,0.0229025999984165,0.0882871439170705,0.00904483926501189,0.151154014037012,0.0645993162707082,0.00780919647527411,0.0333566595508347,0.00120879387533391,0.0825972723925405,0.0382083645379392,0.131831628382191,0.176570223785426,0.107966873974095,0.159078569854248,0.09290011665865,0.00517872293947256,0.0051498817828136,0.0186439647943779,0.136903840865072,0.0403636999744866,0.0508972641556845,0.00399750859155614,0.166388371613727,0.00254327352610367,0.0280349571110406,0.251184502035078,0.155592151267396,0.0360745316490412
"25","C","4",0.122490057902023,0.100411186461031,0.0967693352158229,0.00144016626141081,0.0501023482600354,0.161868880433976,0.0267858981636686,0.0394640372481414,0.10983837140958,0.0135191729084302,0.164323333980652,0.126430728244658,0.0288155464649992,0.0474607630773922,0.00188701177695649,0.164209179751542,0.124480651905497,0.132447739088953,0.3020165233545,0.119912502146432,0.32244347854977,0.127752433436552,0.00701539641272624,0.086560992057664,0.018727147314763,0.241279164213957,0.0788365607214459,0.136740036858036,0.00354461950161803,0.120541119938919,0.00306220328901503,0.0504483113467472,0.252536787592282,0.06211167040287,0.0288448764501115
"26","P","4",0.857650228147995,0.526795957653549,0.401429542351832,0.0100932794642882,0.272195972616431,0.438622476500315,0.154563712431242,0.272571090376612,0.477217509094896,0.0584885691455978,0.0647978317387706,0.646871964381594,0.166722504069449,0.154858442594383,0.0107011224322952,0.69597619121381,0.156463067517089,0.286240686734465,0.651329015242003,0.344484987151371,0.62116902306087,0.80505284562237,0.285688032428115,0.0900417612626641,0.0723290029903765,0.749870192203963,0.415982926170133,0.392025765130044,0.00883067530651067,0.371115246891271,0.0139849418444612,1,0.357371072377902,0.414892561914982,0.193885708687063
"27","P","4",0.670566417572809,0.615268228373019,0.365049415286963,0.0149223155014569,0.329893259993019,0.589153056891068,0.158325027843023,0.519933260436867,0.730359654435956,0.092543101814962,0.0399848326833789,0.57442483886598,0.135863122491045,0.306492669840253,0.00597306207007291,0.722876367997492,0.199930770885885,0.311388417702403,0.347567687416954,0.260881521763106,0.168087526897626,0.729187024220781,0.0425500049317343,0.0386197428189373,0.0632690494059466,0.523288642411119,0.195428198497776,0.517771036999746,0.0196076495622989,0.380611911886899,0.0158863250617346,0.42513783251475,0.417389974220603,0.658662476512971,0.505657636686201
"28","P","4",0.28619756898256,0.391520496067188,0.307728142370035,0.0187318757085164,0.303315599486784,0.4199602644353,0.123558742513985,0.430950548790058,0.450821126833735,0.0847431076473662,0.0453458200532727,0.504772675534063,0.285095828197404,0.244065563094161,0.00409829115757678,0.576516325371903,0.126896159821317,0.220450307215798,0.35551440529019,0.270823684205228,0.165058013855502,0.600053571506827,0.04499948202287,0.0471202266349392,0.0514048218732146,0.370760872172315,0.0985382263605692,0.287451622667954,0.00479087256917232,0.313558588931168,0.00860971002030211,0.174930314999788,0.267419217547494,0.55112827588857,0.202167972821277
