"Sample_Number","Tr","Time","X.Pyruvic.acid..1TMS.","X.Lactic.Acid..2TMS.","X.Valine..1TMS.","X.Alanine..2TMS.","X.Leucine..1TMS.","X.Valine..2TMS.","X.Leucine..2TMS.","X.Threonine..2TMS.","X.Proline..2TMS.","X.Succinic.acid..2TMS.","X.Glycine..3TMS.","X.Fumaric.acid..2TMS.","X.Serine..3TMS.","X.Methionine..1TMS.","X.Aspartic.acid..2TMS.","X.Glutamine...H2O...2TMS.","X.Malic.acid..3TMS.","X.Aspartic.acid..3TMS.","X.Methionine..2TMS.","X.Glutamic.acid..2TMS.","X.2.Oxoglutaric.acid..1MEOX...2TMS..BP","X.Threonic.acid..4TMS.","X.2.Oxoglutaric.acid..1MEOX...2TMS..MP","X.Glutamic.acid..3TMS.","X.Phenylalanine..2TMS.","X.Asparagine..3TMS.","X.Putrescine..4TMS.","X.Glutamine..3TMS.","X.Ornithine..4TMS.","X.Citric.acid..4TMS.","X.Fructose..1MEOX...5TMS..MP","X.Fructose..1MEOX...5TMS..BP","X.Glucose..1MEOX...5TMS..MP","X.Galactose..1MEOX...5TMS..MP","X.Lysine..4TMS.","X.Galactose..1MEOX...5TMS..BP","X.Tyrosine..3TMS.","X.Glucose..1MEOX...5TMS..BP","X.Gluconic.acid..6TMS.","X.myo.Inositol..6TMS.","X.Sucrose..8TMS.","X.Trehalose..8TMS.","X.Maltose..1MEOX...8TMS..MP","X.Melibiose..1MEOX...8TMS..BP","X.Galactinol..9TMS."
"2","C","2",0.185507582391236,0.136187160798965,0.0845064640711448,0.00256132881692918,0.0440702887121415,0.00222024006180763,0.0786690084321057,0.230828901945453,0.0404781791262093,0.0524444451045358,0.0453435217499053,0.0147622858623901,0.00257073694930136,0.0970261228347182,0.0172848558468614,0.0357038865617501,0.00194917248831465,0.0514841610172707,0.0334210111004613,0.0874569689098886,0.0408323017231881,0.327554656603361,0.000596905417209809,0.0570321034012414,0.125480061399668,0.0599601475137185,0.151722685425682,0.0205762529395157,0.111406570821988,0.0030005395658853,0.00176982526267712,0.00250308399210155,0.0160132200296944,0.012322668816901,0.195384667507265,0.0106712301535202,0.0363284827195422,0.0151002185480599,0.00413349635474328,0.200505486212927,0.00161592609163009,0.0238848756298252,0.115619526687439,0.223529486379748,0.0391018747425554
"20","M","2",0.389808424632451,0.26908198460363,0.860065348955738,0.00595235200814949,1,0.038721932115735,0.404428693147744,0.521683431753823,0.115569430243564,0.215193832299219,0.349053349399032,0.067362437120467,0.347225732814891,0.393028700752497,0.077837214551629,1,0.0189106005784545,0.173309751168305,0.430139813760659,0.30836477889093,0.0519559761742949,0.0721148803759753,0.0119139974042523,0.159565260616777,0.573221540235584,0.237716128432848,0.292850974254792,1,0.322556729857242,0.0688428296513742,0.0176474830433783,0.0159872311714895,0.0174170549381321,0.0169519452568867,0.814955485180899,0.0157700012248737,0.15847946853977,0.0737374037670353,0.00491049515481148,0.0978400775072068,0.00625486020445625,0.0305817749566151,0.0508277676182855,0.433519139600117,0.0555933146346066
"21","C","4",0.0919115341330687,0.213405156477453,0.13078535445313,0.0234909369291967,0.0682050333689962,0.0247682424259185,0.198761277574645,0.377499240402325,0.0677545802035101,0.0663152256851852,0.171894881577587,0.0212357292378547,0.164343628943912,0.231378408862592,0.0405744805503748,0.045849773548618,0.00551712899384472,0.150403675064361,0.0546458667454064,0.164785334961353,0.038918455887818,0.10730853257518,0.000250705548713676,0.0908970231820093,0.20688330070908,0.0857113246056138,0.095747766606483,0.0320082662803336,0.216654439019462,0.00533344399749114,0.00839641450830767,0.00797709586839574,0.0242454506292825,0.0232181402752909,0.209345959247805,0.0244896008797226,0.0933843200879085,0.111876451653051,0.00139020869701268,0.117774742653259,0.00900543543504059,0.0261955195852499,0.127145576651751,0.331346320547351,0.0330263304628408
"22","C","4",0.191807528071907,0.0733215908019001,0.0996131125415859,0.00306569031944248,0.0423098638207383,0.00320001850098991,0.0602223400371853,0.301970052675961,0.0365862525884592,0.0374500969177672,0.0668966090223067,0.01559902676271,0.156901671614925,0.0690268668920184,0.0248240461958268,0.0286568716055707,0.00337106180305318,0.0713790541334104,0.0802300850790192,0.0873815403622683,0.0491614859333597,0.0412193925014372,0.00117099256731398,0.114855527597333,0.178338270383195,0.054723213098259,0.433134046243606,0.0227878218371483,0.0890820298680404,0.00202546974832083,0.00394125725416091,0.00355374508948611,0.00869537705057691,0.00889412237088643,0.202813462902263,0.00964826820949643,0.0580723652140436,0.0228362893614587,0.000920284331616072,0.00582809972989486,0.00285004104864685,0.0129753700052162,0.0204119152507914,0.0940105150791493,0.00402299146984668
"23","C","4",0.152501123006995,0.272014389923496,0.132470859720953,0.00645607530035556,0.0914073587594252,0.00665609314511306,0.224119025659206,0.348000408882665,0.0966454066010847,0.121017556197066,0.150037625678939,0.0300836066659902,0.244715792117815,0.362489538402148,0.0615717466360752,0.0479317939710628,0.00495375101027024,0.12405798719969,0.0442386614351283,0.285852747126364,0.232427693803779,0.368033111287058,0.000353391914725342,0.0749571523196058,0.195555281328959,0.15266738919612,0.171779894646167,0.166815584794242,0.323357702685949,0.00687277301247207,0.151279104812185,0.14528210948258,0.0257771587711184,0.0241077655226358,0.26246512394497,0.0270786617560872,0.119595141560226,0.179104876853616,0.0056816079741308,0.248179755319006,0.00386604427908903,0.0357323858251021,0.164678652118764,0.292973497303208,0.0365773353146188
"24","C","4",0.0648451897530975,0.0585411250539005,0.066267158331272,0.290189722579759,0.0108738156136063,0.19308431948417,0.355386750781668,0.243718008907155,0.307000477925515,0.0280997227194409,0.0663884184902308,0.0112314997512876,0.192322634216659,0.0609295941676717,0.00868842422240908,0.0524911893579915,0.00201107008082829,0.183580997908646,0.0570191117094617,0.0836359463940071,0.0388372736202314,0.130858922640492,0.000211464579979393,0.0879142869464913,0.143532484102514,0.0907085289766477,0.144383904544606,0.035535211882282,0.119994096542376,0.00628076525813455,0.00596633548366229,0.0055968286079435,0.0185476987943196,0.01611911861893,0.183930445857397,0.0144790510015366,0.0409220855864381,0.0418259598561644,0.00431952546427415,0.206473803651531,0.00301976610522627,0.0157661152155244,0.185265607442677,0.201169425482379,0.0451796010980518
"25","C","4",0.127805931627356,0.129436210984215,0.097747095904285,0.00237366560700958,0.0528304068711012,0.00332755683343922,0.106504506882308,0.288374406392992,0.0547498808028214,0.0489961432723479,0.100435602087031,0.0161211080918718,0.250298312600785,0.131696064696462,0.0345053791776935,0.0472178751916701,0.00335728131868263,0.107211634940062,0.0600537973989187,0.153859419669312,0.138537329724544,0.127920569199881,0.000621816781907315,0.0786386760851318,0.236804943902789,0.0906695671530964,0.296844673461524,0.0561468001031448,0.139447027259348,0.00780909680875236,0.107127513796691,0.101535009974174,0.0167791046064213,0.0146879810328176,0.259550275354833,0.0162998116893726,0.0702564978808121,0.0991995951871546,0.00305820035622685,0.146976402601979,0.00331478432583693,0.029686181623247,0.176140195658904,0.0713253530873812,0.0319096767625897
"26","P","4",1,0.783948698786961,0.483347504849478,0.0190557792177936,0.384791472184064,0.0150839683230401,0.743645723338757,0.607183075765,0.330710068376552,0.366079004837384,0.472931474997,0.0750539692520965,0.103264244166222,0.609673982080209,0.166132840870856,0.156497253868562,0.0204240085705389,0.216871630059478,0.117681739979875,0.729721095925315,0.147017626618517,0.299689669601844,0.0195466228111857,0.254340860436542,0.585890915546725,0.257894218399015,0.64276433613767,0.0634440886291701,1,0.336346937900481,0.118926745984495,0.109040521337354,0.0688186547151305,0.0659919099700935,1,0.0704431814127464,0.41006408985559,0.315155917668914,0.00855345589881005,0.509158138260944,0.0164895825382101,1,0.238815495397475,0.549957357484899,0.22633204974397
"27","P","4",0.619636842211916,0.711456319323963,0.344762733216256,0.0157627834307982,0.140634249550055,0.014833439251137,0.690451348278585,0.602437120758105,0.304798861613595,0.54485386872621,0.56275801719986,0.0936231660723795,0.0460772495326813,0.431157361218351,0.101586650925181,0.216139100373105,0.00906019548578711,0.124818693548037,0.0701123990212543,0.630990069512708,0.162917150783446,0.253594804522098,0.0170326691008236,0.0555206794603383,0.196951993112065,0.156306585835213,0.130345646601945,0.0778547535723127,0.743863828353864,0.0385277508996453,0.0395407996888422,0.036646162040736,0.0472063269816693,0.0443498962347605,0.459788479444814,0.0424836772156355,0.150396267406694,0.323843752373148,0.017773165317252,0.407990595012698,0.0143474648960668,0.207756364056283,0.255416195802081,0.695912471127442,0.501099043163228
"28","P","4",0.205048659784151,0.37719707832531,0.274516035603871,0.025954159144772,0.111484858932436,0.0234069745983964,0.576468221958685,0.38458408985714,0.206880375913596,0.419040272143503,0.308693089869994,0.080008801344724,0.0560806228730524,0.366364028686239,0.281499097426538,0.143189320955229,0.00583281005683627,0.127214715807873,0.0856015692261927,0.468407995537412,0.0971025540186316,0.171312925344956,0.0230310903871659,0.0690133485566082,0.194841445792553,0.183052611567201,0.122531003785062,0.0958522612974173,0.626897545002656,0.0421511940998406,0.0466123140732321,0.0434649438243831,0.0359470383245189,0.0347287790600827,0.271678846749352,0.0331432349507873,0.0728686837180734,0.172801330492204,0.0039853822350727,0.324788980499904,0.00761499527152749,0.0783103987724879,0.14027103457115,0.561494828798539,0.18613979635481
