Tr;Time;RI_mz;N;mean;sd;se
99;C;6;X.Gluconic.acid..6TMS.;5;0.00381173869222998;0.00367274760109569;0.00164250266004985
100;C;6;X.myo.Inositol..6TMS.;5;0.141686437969842;0.156058979018338;0.0697916971168432
101;C;6;X.Sucrose..8TMS.;5;0.0335712068120278;0.0422506742774424;0.0188950759559126
102;C;6;X.Trehalose..8TMS.;5;0.0457421708276388;0.0178801949860762;0.00799626628796344
103;C;6;X.Maltose..1MEOX...8TMS..MP;5;0.295032575620519;0.222265193238541;0.0994000162227007
104;C;6;X.Melibiose..1MEOX...8TMS..BP;5;0.127237722966591;0.104639272071687;0.0467961050936776
105;C;6;X.Galactinol..9TMS.;5;0.0574992461575806;0.0863374675422634;0.0386112892859365
106;F;2;X.Pyruvic.acid..1TMS.;5;0.312165001569647;0.184700110469689;0.0826004004923892
107;F;2;X.Lactic.Acid..2TMS.;5;0.319183226030545;0.115480252001634;0.0516443387068921
108;F;2;X.Valine..1TMS.;5;0.377552269608919;0.350237681305688;0.156631052736285
109;F;2;X.Alanine..2TMS.;5;0.0221553798564488;0.0404088859043961;0.0180714031554526
110;F;2;X.Leucine..2TMS.;5;0.14207669650697;0.0597743419128667;0.0267318983654969
111;F;2;X.Threonine..2TMS.;5;0.38128698284859;0.134418505447571;0.0601137831229391
112;F;2;X.Proline..2TMS.;5;0.0957853216785742;0.111759198535667;0.0499802330073294
113;F;2;X.Succinic.acid..2TMS.;5;0.520066117230256;0.330401842623449;0.147760195999444
114;F;2;X.Glycine..3TMS.;5;0.359363953259376;0.255811568087243;0.114402411134778
115;F;2;X.Fumaric.acid..2TMS.;5;0.258659207689676;0.416918246990478;0.186451508266151
116;F;2;X.Serine..3TMS.;5;0.130880506825504;0.126286290148626;0.0564769458797181
117;F;2;X.Methionine..1TMS.;5;0.479761130062502;0.217715943232646;0.0973655297707365
118;F;2;X.Aspartic.acid..2TMS.;5;0.259364643523336;0.414355768113862;0.185305532874347
119;F;2;X.Glutamine...H2O...2TMS.;5;0.120829862833333;0.0868258032394017;0.0388296796488647
120;F;2;X.Malic.acid..3TMS.;5;0.271768832396598;0.429978988656757;0.192292449506624
