"Tr","Time","Pyruvic.acid..1TMS.","Lactic.Acid..2TMS.","Valine..1TMS.","Leucine..2TMS.","Threonine..2TMS.","Proline..2TMS.","Succinic.acid..2TMS.","Glycine..3TMS.","Methionine..1TMS.","Glutamine...H2O...2TMS.","Glutamic.acid..2TMS.","X2.Oxoglutaric.acid..1MEOX...2TMS..BP","Threonic.acid..4TMS.","Phenylalanine..2TMS.","Asparagine..3TMS.","Ornithine..4TMS.","Lysine..4TMS.","Glucose..1MEOX...5TMS..BP","Gluconic.acid..6TMS.","Trehalose..8TMS.","Maltose..1MEOX...8TMS..MP","Melibiose..1MEOX...8TMS..BP","Galactinol..9TMS."
"F","6","0.23234237","0.21180734","0.14307060","0.13647469","0.3700788","0.05913294","0.25368452","0.22563769","0.29195077","0.07846968","0.21635540","0.09001212","0.16749087","0.34284589","0.18622247","0.26486266","0.13807772","0.12163910","0.0374730779","0.06308823","0.27416202","0.05632612","0.085491111"
"F","6","0.08676105","0.07916178","0.14831662","0.07523190","0.4228452","0.04001908","0.09796515","0.07478268","0.37782539","0.05704199","0.25248916","0.07745890","0.65517573","0.49714997","0.42026144","0.23739667","0.37678313","1.00000000","0.0198674904","0.14782045","1.00000000","0.32735575","0.396684112"
"F","6","0.13268488","0.13402086","0.15526314","0.11257228","0.3850986","0.04632926","0.10797262","0.12029579","0.27039126","0.07373541","0.33910398","0.06844630","0.28548800","0.14239377","0.19405753","0.24525039","0.22414009","0.26920018","0.0098783841","0.09215432","0.52770874","0.25133103","0.242295811"
"M","6","0.61653536","0.24552978","0.24893235","0.14527971","0.3328731","0.07925196","0.42248635","0.23686247","0.24421621","0.05711140","0.34717863","0.09232639","0.08101844","0.24995375","0.35515427","0.26376184","0.23790567","0.06767717","0.0012053597","0.06123020","0.09127813","0.04226263","0.003854683"
"M","6","0.18071388","0.26892871","0.11113271","0.11151900","0.2411820","0.03260959","0.12685124","0.12201557","0.12819829","0.01963580","0.14916916","0.03789850","0.05498715","0.06102586","0.10764504","0.22263222","0.13787288","0.05641213","0.0009037501","0.05573774","0.08632192","0.08234715","0.023095770"
"M","6","0.28913363","0.31970365","0.18822495","0.17814669","0.4002192","0.06398529","0.20989977","0.21372897","0.27302914","0.01939302","0.24056004","0.07388141","0.11592155","0.29134943","0.29690560","0.40541609","0.25861797","0.22612252","0.0071904853","0.09785077","0.20498706","0.11608236","0.037459350"
"M","6","0.43146970","0.37950354","0.32336721","0.54901674","0.2968968","0.46500316","0.18483154","0.33103117","0.85058620","0.67744584","0.62155954","0.21929562","0.03019415","0.24854181","0.11688314","0.44654034","0.48493745","0.06524666","0.0050400478","0.13515350","0.15484364","0.59936156","0.045120218"
"P","2","0.59893374","0.69867752","0.76282743","0.30346817","0.6243547","0.14907610","0.49263494","0.93427263","0.92693233","0.18850464","0.78101633","0.35078759","0.40077032","1.00000000","0.53749722","0.66826832","0.67289430","0.52055326","0.0469117814","0.25877516","0.27480553","0.68765702","0.587337373"
"M","6","0.41289314","0.45435952","0.32501365","0.28607616","0.5675058","0.10260807","0.24376188","0.28852270","0.37061687","0.17533978","0.38017477","0.13786400","0.06661692","0.20996774","0.23831844","0.35117782","0.28306908","0.09342319","0.0020093348","0.08499891","0.10385116","0.14511740","0.040301856"
"P","2","0.33628159","0.38499393","0.34127126","0.20272919","0.4565988","0.07781204","0.34667610","0.42915430","0.50918276","0.05601136","0.39303532","0.10629087","0.25494889","0.19891198","0.27697806","0.49736100","0.36110905","0.28678047","0.0058372144","0.12203712","0.25343381","0.32078934","0.149779602"
"P","2","0.66168817","0.60038678","0.35926910","0.49519650","0.5409578","0.45630704","0.21754557","0.58215910","0.60995024","0.19285033","0.37093083","0.37037407","0.24416431","0.72989592","0.20852473","0.54326365","0.44206188","0.63284938","0.0064153236","0.12860893","0.30476508","0.41685811","0.084783317"
"P","2","0.68545806","0.91587923","0.66522160","0.29143821","0.4778130","0.15767851","0.48733138","0.75709665","0.97361923","0.16258844","0.96327481","0.18948699","0.26721350","0.28613823","0.45708703","0.78959678","0.56379785","0.57524256","0.0143080593","0.28120271","0.67960857","1.00000000","0.284026442"
